"Region","Date","Type","AveragePrice","TotalVolume","X4046","X4225","X4770","TotalBags","SmallBags","LargeBags","XLargeBags","Year"
"LosAngeles",2015-11-15,"conventional",0.74,2828361.9,1281378.91,661936.25,70734.46,814312.28,763322.82,44152.29,6837.17,2015
"LosAngeles",2015-11-08,"conventional",0.84,2621078.31,1314856.37,702841.97,75385.11,527994.86,492713.56,29335.02,5946.28,2015
"LosAngeles",2015-11-01,"conventional",0.89,2617806.65,1232603.24,914725.31,74252.61,396225.49,378048.56,13371.54,4805.39,2015
"LosAngeles",2015-10-25,"conventional",0.95,2327634.45,974251.62,925306.32,78774.2,349302.31,341731.29,3774.75,3796.27,2015
"LosAngeles",2015-10-18,"conventional",0.89,2661345.12,1045819.2,1169758.16,78303.54,367464.22,358998.74,6303.21,2162.27,2015
"LosAngeles",2015-10-11,"conventional",0.92,2591981.76,1014382.6,1205553.71,74862.42,297183.03,280841.88,13203.35,3137.8,2015
"LosAngeles",2015-10-04,"conventional",0.98,2278629.09,798046.49,1120569.37,86683.25,273329.98,251924.68,17899.44,3505.86,2015
"LosAngeles",2015-09-27,"conventional",0.9,2674658.54,1004429.55,1305809.85,81864.64,282554.5,268104.31,9642.69,4807.5,2015
"LosAngeles",2015-09-20,"conventional",0.99,2392448.9,1024117.14,947562.49,118706.07,302063.2,284791.57,12275.43,4996.2,2015
"LosAngeles",2015-09-13,"conventional",0.98,2549512.5,1076046.71,1079298.4,97210.13,296957.26,226956.87,64067.31,5933.08,2015
"LosAngeles",2015-09-06,"conventional",0.92,2983163.34,1809743.28,738938.41,90624.69,343856.96,312763.93,26701.71,4391.32,2015
"LosAngeles",2015-08-30,"conventional",0.9,3037663.98,2084250.55,503077.81,86574.37,363761.25,357387.32,3503.63,2870.3,2015
"LosAngeles",2015-08-23,"conventional",1.03,2604991.25,1687625.73,538010.14,92245.94,287109.44,279700.22,3994.61,3414.61,2015
"LosAngeles",2015-08-16,"conventional",0.93,2943218.77,2040657.52,516718.52,79890.52,305952.21,301831.12,760.09,3361,2015
"LosAngeles",2015-08-09,"conventional",0.94,3371114.14,2176899.72,813280.77,69168.37,311765.28,304882.47,4251.42,2631.39,2015
"LosAngeles",2015-08-02,"conventional",1,2742211.46,1883744.01,503247.72,58532.61,296687.12,291524.01,2991.1,2172.01,2015
"LosAngeles",2015-07-26,"conventional",0.95,2893887.74,2052103.6,440413.6,79478.59,321891.95,316322.88,2936.81,2632.26,2015
"LosAngeles",2015-07-19,"conventional",1.02,2614726.11,1801294.72,417289.56,89206.49,306935.34,290890.18,13264.37,2780.79,2015
"LosAngeles",2015-07-12,"conventional",1.03,2652480.7,1707544.28,548712.47,83398.45,312825.5,298568.77,11398.26,2858.47,2015
"LosAngeles",2015-07-05,"conventional",0.96,3435374.51,2373501.16,564583.23,99097.11,398193.01,377663.89,17234.66,3294.46,2015
"LosAngeles",2015-06-28,"conventional",0.94,2921148.91,2073077.35,419199.06,75759.53,353112.97,336537.82,13953.67,2621.48,2015
"LosAngeles",2015-06-21,"conventional",0.91,3040023.34,2133616.93,473295.46,79616.07,353494.88,334560.23,15484.32,3450.33,2015
"LosAngeles",2015-06-14,"conventional",0.79,3689140.93,2747257.69,497878.86,69556.02,374448.36,357012.13,14619.41,2816.82,2015
"LosAngeles",2015-06-07,"conventional",0.84,3261844.41,2356669.17,447751.9,71705.74,385717.6,367627.51,14651.88,3438.21,2015
"LosAngeles",2015-05-31,"conventional",0.85,3196936.02,2355022.1,455405.46,76580.26,309928.2,292423.13,14480.99,3024.08,2015
"LosAngeles",2015-05-24,"conventional",0.97,2853904.6,2013195.78,465604.19,73414.62,301690.01,283662.09,14885.79,3142.13,2015
"LosAngeles",2015-05-17,"conventional",0.98,2557700.83,1817736.96,390302.38,54789.31,294872.18,280916.4,11067.18,2888.6,2015
"LosAngeles",2015-05-10,"conventional",0.78,3553642.53,2743972.44,390901.84,60232.29,358535.96,345073.29,10675.7,2786.97,2015
"LosAngeles",2015-05-03,"conventional",0.78,4015563.02,2914047.44,670161.4,61569.48,369784.7,356360.42,11566.37,1857.91,2015
"LosAngeles",2015-04-26,"conventional",1.02,2355703.98,1567937.53,427885.78,62487.28,297393.39,280321.62,15427.14,1644.63,2015
"LosAngeles",2015-04-19,"conventional",0.93,2901188.07,2029025.26,487491.5,58423.48,326247.83,279355.95,45364.01,1527.87,2015
"LosAngeles",2015-04-12,"conventional",0.93,2799667.4,1818859.19,579426.16,64716.4,336665.65,284383.05,50472.61,1809.99,2015
"LosAngeles",2015-04-05,"conventional",1.01,2603114.56,1753452.57,490701.38,73965.36,284995.25,245998.59,36929.22,2067.44,2015
"LosAngeles",2015-03-29,"conventional",1,2566690.28,1672623.8,535932.2,69022.84,289111.44,250801.63,36844.97,1464.84,2015
"LosAngeles",2015-03-22,"conventional",1.01,2466735.33,1423482.89,679696.81,68607.44,294948.19,275797.37,17691.29,1459.53,2015
"LosAngeles",2015-03-15,"conventional",0.94,2690257.2,1841764.25,445562.2,70872.78,332057.97,313898.03,16220.47,1939.47,2015
"LosAngeles",2015-03-08,"conventional",0.86,2797745.89,2005781.71,400644.42,62567.6,328752.16,311497.6,15650.13,1604.43,2015
"LosAngeles",2015-03-01,"conventional",0.75,3094278.93,2145439.03,592196.29,61863.94,294779.67,269524.6,23570.43,1684.64,2015
"LosAngeles",2015-02-22,"conventional",0.83,2954705.54,2050402.87,505580.16,61573.28,337149.23,309850.06,25218.02,2081.15,2015
"LosAngeles",2015-02-15,"conventional",0.83,2926435.94,2146773.46,408395.74,62511.83,308754.91,271596.41,35034.18,2124.32,2015
"LosAngeles",2015-02-08,"conventional",0.9,2641032.65,1673425.82,582236.24,58216.26,327154.33,280560.62,44327.49,2266.22,2015
"LosAngeles",2015-02-01,"conventional",0.74,4031949.04,2770656.27,854673.24,64439.7,342179.83,308754.64,31108.07,2317.12,2015
"LosAngeles",2015-01-25,"conventional",0.96,2329987.29,1518406.36,456562.55,60922.43,294095.95,255279.65,36398.19,2418.11,2015
"LosAngeles",2015-01-18,"conventional",0.89,2800679.5,1925013.31,526106.8,59364.23,290195.16,260857.96,26671.18,2666.02,2015
"LosAngeles",2015-01-11,"conventional",0.85,2713699.6,1786326.65,617233.39,58892.91,251246.65,222971.68,25111.74,3163.23,2015
"LosAngeles",2015-01-04,"conventional",0.85,2682159.95,1837999.65,524430.47,64225.78,255504.05,215571.8,36981.72,2950.53,2015
"Sacramento",2015-12-27,"conventional",0.98,403741.62,98482.89,249362.94,13805.3,42090.49,42084.71,5.78,0,2015
"Sacramento",2015-12-20,"conventional",1,385518.03,99604.61,224843.47,15917.28,45152.67,45138.23,8.66,5.78,2015
"Sacramento",2015-12-13,"conventional",1,376689.94,94854.9,221627.68,16953.75,43253.61,43250.73,2.88,0,2015
"Sacramento",2015-12-06,"conventional",1.07,318280.23,82537.98,184349.52,12748.39,38644.34,38638.58,0,5.76,2015
"Sacramento",2015-11-29,"conventional",0.99,347406.9,80757.92,216851.97,13205.04,36591.97,36574.73,0,17.24,2015
"Sacramento",2015-11-22,"conventional",1.06,354986.48,83984.24,218912.41,12684.6,39405.23,39405.23,0,0,2015
"Sacramento",2015-11-15,"conventional",0.94,414161.47,100343.08,262929.38,11181.91,39707.1,39707.1,0,0,2015
"Sacramento",2015-11-08,"conventional",1.14,357132.53,118696.55,185189.82,11093.06,42153.1,42153.1,0,0,2015
"Sacramento",2015-11-01,"conventional",1.02,532467.38,180210.99,300978.15,12762.49,38515.75,38515.75,0,0,2015
"Sacramento",2015-10-25,"conventional",1.26,343757.21,98792.01,190021.02,12903,42041.18,42041.18,0,0,2015
"Sacramento",2015-10-18,"conventional",1.28,326458.27,94529.6,175181.76,12783.14,43963.77,43963.77,0,0,2015
"Sacramento",2015-10-11,"conventional",1.29,355472.28,85276.49,211955.75,13141.51,45098.53,45098.53,0,0,2015
"Sacramento",2015-10-04,"conventional",1.1,377192.1,70755.56,259002.51,12312.13,35121.9,35121.9,0,0,2015
"Sacramento",2015-09-27,"conventional",1.28,350982.2,84527.09,213297.91,13481.19,39676.01,39676.01,0,0,2015
"Sacramento",2015-09-20,"conventional",1.25,353231.58,79142.8,220538.2,12364.88,41185.7,41185.7,0,0,2015
"Sacramento",2015-09-13,"conventional",1.24,384192.52,101189.96,220364.77,15102.86,47534.93,47530.56,4.37,0,2015
"Sacramento",2015-09-06,"conventional",1.21,466705.75,137388.73,262139.81,17201.5,49975.71,49967,8.71,0,2015
"Sacramento",2015-08-30,"conventional",1.3,377229.13,114804.62,197034.03,17331.98,48058.5,48058.5,0,0,2015
"Sacramento",2015-08-23,"conventional",1.26,405274.71,112710.34,233164.62,12415.75,46984,46984,0,0,2015
"Sacramento",2015-08-16,"conventional",1.3,401708.33,136485.36,202459.2,13395.95,49367.82,49356.2,11.62,0,2015
"Sacramento",2015-08-09,"conventional",1.28,414823.74,146135.78,206011.16,13618.36,49058.44,49041,17.44,0,2015
"Sacramento",2015-08-02,"conventional",1.33,404664.32,131156.47,209986.17,14770.96,48750.72,48750.72,0,0,2015
"Sacramento",2015-07-26,"conventional",1.32,395471.89,130034.73,200668.51,13184.96,51583.69,51550.15,33.54,0,2015
"Sacramento",2015-07-19,"conventional",1.29,404604.85,130412.82,210334.54,9285.1,54572.39,54572.39,0,0,2015
"Sacramento",2015-07-12,"conventional",1.23,411928.38,130109.66,218611.12,6078.13,57129.47,56976.69,0,152.78,2015
"Sacramento",2015-07-05,"conventional",1.26,550810.62,161220.26,305122.62,17131.92,67335.82,67335.82,0,0,2015
"Sacramento",2015-06-28,"conventional",1.26,423984.04,143118.33,210343.54,13590.1,56932.07,56932.07,0,0,2015
"Sacramento",2015-06-21,"conventional",1.27,422723.91,137206.11,215068.66,14700.4,55748.74,55744.3,4.44,0,2015
"Sacramento",2015-06-14,"conventional",1.22,431791.38,149611.03,209926.36,13867.94,58386.05,58386.05,0,0,2015
"Sacramento",2015-06-07,"conventional",1.18,435087.17,143063.59,224039.06,14288.77,53695.75,53695.75,0,0,2015
"Sacramento",2015-05-31,"conventional",1.17,435723.85,156719.55,219047.4,14172.36,45784.54,45775.86,8.68,0,2015
"Sacramento",2015-05-24,"conventional",1.26,403793.79,110289.47,232223.44,12830.34,48450.54,48450.54,0,0,2015
"Sacramento",2015-05-17,"conventional",1.18,397215.12,141111.13,200745.02,12034.36,43324.61,43324.61,0,0,2015
"Sacramento",2015-05-10,"conventional",1.14,437822.76,162135,217681.33,13246.38,44760.05,44760.05,0,0,2015
"Sacramento",2015-05-03,"conventional",1.05,662034.34,149107.81,458178.77,13261.84,41485.92,41281.75,0,204.17,2015
"Sacramento",2015-04-26,"conventional",1.27,366719.82,101324.62,205561.23,13085.26,46748.71,46748.71,0,0,2015
"Sacramento",2015-04-19,"conventional",1.19,415841.32,117518.41,241637.11,13267.34,43418.46,43392.71,25.75,0,2015
"Sacramento",2015-04-12,"conventional",1.24,382583.75,119295.38,208546.45,13073.16,41668.76,41625.86,42.9,0,2015
"Sacramento",2015-04-05,"conventional",1.23,404333.75,120613.18,214547.09,15099.24,54074.24,54049.06,25.18,0,2015
"Sacramento",2015-03-29,"conventional",1.2,391178.81,110809.75,203705.17,13740.39,62923.5,62884.77,38.73,0,2015
"Sacramento",2015-03-22,"conventional",1.13,424708.39,106578.88,221094.74,13423.63,83611.14,83611.14,0,0,2015
"Sacramento",2015-03-15,"conventional",1.22,380761.14,113759.19,204089.22,14830.61,48082.12,48082.12,0,0,2015
"Sacramento",2015-03-08,"conventional",1.12,415147.69,152131.35,199610.67,13402.92,50002.75,50002.75,0,0,2015
"Sacramento",2015-03-01,"conventional",1.02,452845.47,143867.37,256090.11,13870.37,39017.62,39017.62,0,0,2015
"Sacramento",2015-02-22,"conventional",1.14,405013.16,137425.32,216791.05,11561.59,39235.2,39235.2,0,0,2015
"Sacramento",2015-02-15,"conventional",1.13,381041.74,134992.29,194031.02,10273.69,41744.74,41744.74,0,0,2015
"Sacramento",2015-02-08,"conventional",0.98,432572.45,144586.53,237751.75,9798.79,40435.38,40435.38,0,0,2015
"Sacramento",2015-02-01,"conventional",1.04,771974.9,287292.15,429601.75,15342.47,39738.53,39738.53,0,0,2015
"Sacramento",2015-01-25,"conventional",1.19,360027.65,101289.29,210411.75,9507.42,38819.19,38819.19,0,0,2015
"Sacramento",2015-01-18,"conventional",1.22,367047.36,83097.77,238956.51,5672.46,39320.62,39320.62,0,0,2015
"Sacramento",2015-01-11,"conventional",1.09,429492.28,109368.41,271300.08,5094.23,43729.56,43722.89,6.67,0,2015
"Sacramento",2015-01-04,"conventional",1.05,430138.88,110693.69,270107.61,9737.5,39600.08,39600.08,0,0,2015
"SanDiego",2015-12-27,"conventional",0.92,439968.4,141447.28,130341.75,20174.55,148004.82,116383.07,31621.75,0,2015
"SanDiego",2015-12-20,"conventional",0.94,420476.44,130565.46,119298.5,25052.93,145559.55,111019.22,34540.33,0,2015
"SanDiego",2015-12-13,"conventional",0.84,462548.3,155111.21,118664.89,16726.87,172045.33,128053.44,43991.89,0,2015
"SanDiego",2015-12-06,"conventional",0.67,565516.62,196490.3,209350.93,17406.01,142269.38,114044.25,28225.13,0,2015
"SanDiego",2015-11-29,"conventional",0.91,385289.59,143861.4,140359.41,20206.16,80862.62,64857.94,16004.68,0,2015
"SanDiego",2015-11-22,"conventional",0.98,385300.75,163396.83,129579.32,18973.9,73350.7,59945.93,13404.77,0,2015
"SanDiego",2015-11-15,"conventional",0.85,501838.1,264103.11,150523.33,15638.32,71573.34,63091,8482.34,0,2015
"SanDiego",2015-11-08,"conventional",0.92,492385.15,255993.88,154270.39,16457.11,65663.77,58719.13,6944.64,0,2015
"SanDiego",2015-11-01,"conventional",1.01,468472.81,211287.89,179995.77,17716.68,59472.47,53567.27,5897.02,8.18,2015
"SanDiego",2015-10-25,"conventional",1.08,408336.19,172518.85,165522.86,18702.56,51591.92,48469.97,3117.85,4.1,2015
"SanDiego",2015-10-18,"conventional",1.03,447663.17,197862.67,179049.25,19380.83,51370.42,47913.55,3456.87,0,2015
"SanDiego",2015-10-11,"conventional",0.93,492276.73,202263.25,234833.71,17638.39,37541.38,35490.61,2050.77,0,2015
"SanDiego",2015-10-04,"conventional",1.11,404301.76,154884.04,194838.77,18666.34,35912.61,31952.3,3960.31,0,2015
"SanDiego",2015-09-27,"conventional",0.93,491990.83,194526.22,245815.73,14807.56,36841.32,34448.65,2392.67,0,2015
"SanDiego",2015-09-20,"conventional",1.07,448488.04,204096.06,173105.77,28629.58,42656.63,39560.7,3095.93,0,2015
"SanDiego",2015-09-13,"conventional",1.08,464305.03,191302.75,199953.93,21645.98,51402.37,46655.35,4747.02,0,2015
"SanDiego",2015-09-06,"conventional",1.02,502677.35,271640.29,165034.84,19961.19,46041.03,41719.29,4321.74,0,2015
"SanDiego",2015-08-30,"conventional",1.04,490268.77,277305.27,145974.51,19843.62,47145.37,45500.19,1645.18,0,2015
"SanDiego",2015-08-23,"conventional",1.15,459471.05,250163.47,153378.68,20782.84,35146.06,33582.95,1563.11,0,2015
"SanDiego",2015-08-16,"conventional",1.05,514202.63,281209.49,176899.01,16942.25,39151.88,38649.39,502.49,0,2015
"SanDiego",2015-08-09,"conventional",1.03,630941.71,285569.68,288086.68,14248.31,43037.04,41132.08,1904.96,0,2015
"SanDiego",2015-08-02,"conventional",1.07,500999.15,275822.73,168300.62,12740.87,44134.93,42995.09,1139.84,0,2015
"SanDiego",2015-07-26,"conventional",1.1,495344.27,279280.58,161574.35,16605.49,37883.85,36718.01,1165.84,0,2015
"SanDiego",2015-07-19,"conventional",1.15,462526,258240.72,142492.68,16611.22,45181.38,41231.13,3950.25,0,2015
"SanDiego",2015-07-12,"conventional",1.1,490312.63,251056.27,182844.55,14524.67,41887.14,38417.55,3469.59,0,2015
"SanDiego",2015-07-05,"conventional",1.05,587740.55,328818.07,187820.87,18794.71,52306.9,46816.59,5490.31,0,2015
"SanDiego",2015-06-28,"conventional",1.02,495309.23,295023.15,142348.73,15418.32,42519.03,37940.93,4578.1,0,2015
"SanDiego",2015-06-21,"conventional",0.94,594488.41,368402.91,163855.72,16575.72,45654.06,41075.95,4578.11,0,2015
"SanDiego",2015-06-14,"conventional",0.87,630746.82,403551.43,165020.73,14478.75,47695.91,43522.9,4173.01,0,2015
"SanDiego",2015-06-07,"conventional",0.89,607468.04,378749.86,164367.13,13914.85,50436.2,46211.78,4224.42,0,2015
"SanDiego",2015-05-31,"conventional",0.9,569414.76,358147.99,153680.36,14150.62,43435.79,39195.38,4240.41,0,2015
"SanDiego",2015-05-24,"conventional",1.08,477415.68,273672.82,155813.57,13519.38,34409.91,29727.22,4682.69,0,2015
"SanDiego",2015-05-17,"conventional",1.02,458191.52,283530.1,131772.59,9903.23,32985.6,29400.09,3585.51,0,2015
"SanDiego",2015-05-10,"conventional",0.85,594740.3,399789.96,136147.89,11997.54,46804.91,43190.6,3614.31,0,2015
"SanDiego",2015-05-03,"conventional",0.8,740760.3,424263.68,247709.36,14408.91,54378.35,50153.42,4224.93,0,2015
"SanDiego",2015-04-26,"conventional",1.11,435990.48,235664.26,141949.05,14634.32,43742.85,37689.45,6053.4,0,2015
"SanDiego",2015-04-19,"conventional",1.04,488094.98,270328.18,156651.22,13282.24,47833.34,25453.84,22379.5,0,2015
"SanDiego",2015-04-12,"conventional",1.01,515246.69,260591.11,189713.87,14665.62,50276.09,26305.87,23949.07,21.15,2015
"SanDiego",2015-04-05,"conventional",1.11,469883.87,249036.72,162601.8,15718.9,42526.45,25464.02,16966.53,95.9,2015
"SanDiego",2015-03-29,"conventional",1.08,450370.85,234361.38,155583.39,14998.04,45428.04,25798.74,19629.3,0,2015
"SanDiego",2015-03-22,"conventional",0.96,515764.64,235106.15,221942.26,14165.05,44551.18,38487.7,6063.48,0,2015
"SanDiego",2015-03-15,"conventional",1.06,463106.48,257709.12,144761.07,17440,43196.29,37920.39,5268.51,7.39,2015
"SanDiego",2015-03-08,"conventional",0.95,504284.16,314550.25,127157.9,14754.16,47821.85,42719.72,5102.13,0,2015
"SanDiego",2015-03-01,"conventional",0.83,572552.24,317625.55,202619.21,14036.07,38271.41,32922.93,5315.64,32.84,2015
"SanDiego",2015-02-22,"conventional",0.92,516149.11,301983.87,151869.53,14484.65,47811.06,42234.77,5543.66,32.63,2015
"SanDiego",2015-02-15,"conventional",0.94,486113.55,303637.72,127874.99,15333.5,39267.34,33642.66,5425.61,199.07,2015
"SanDiego",2015-02-08,"conventional",0.98,448394.83,229118.81,162856.34,14251.47,42168.21,36417.77,5526.46,223.98,2015
"SanDiego",2015-02-01,"conventional",0.85,692276.13,357235.87,277723.14,15691.23,41625.89,36622.51,4738.29,265.09,2015
"SanDiego",2015-01-25,"conventional",1.02,406591.11,217747.34,140456.68,13326.97,35060.12,30090.58,4708.25,261.29,2015
"SanDiego",2015-01-18,"conventional",1.01,461063.73,250311.74,163944.2,14125.01,32682.78,27844.81,4411.36,426.61,2015
"SanDiego",2015-01-11,"conventional",0.82,544667.18,303369.02,192913.11,12900.65,35484.4,31807.96,3271.85,404.59,2015
"SanDiego",2015-01-04,"conventional",0.94,461607.33,244152.26,165299.33,15302.75,36852.99,30884.29,5595,373.7,2015
"SanFrancisco",2015-12-27,"conventional",1.05,692206.4,181704.67,422617.8,28184.73,59699.2,59094.49,582.9,21.81,2015
"SanFrancisco",2015-12-20,"conventional",1.15,637091.48,173521.67,364622.31,33083.99,65863.51,65038.1,766.09,59.32,2015
"SanFrancisco",2015-12-13,"conventional",1.22,616016.46,127080.03,384958.63,34069.96,69907.84,69022.62,781.91,103.31,2015
"SanFrancisco",2015-12-06,"conventional",1.06,694982.49,102771.75,498975.34,37321.12,55914.28,55171.77,638.89,103.62,2015
"SanFrancisco",2015-11-29,"conventional",1.05,651638.6,102783.08,462966.47,31195.04,54694.01,53992.69,647.78,53.54,2015
"SanFrancisco",2015-11-22,"conventional",1.04,709444.22,121232.94,502068.19,29410.26,56732.83,55908.92,773.33,50.58,2015
"SanFrancisco",2015-11-15,"conventional",0.99,775848.72,165884.02,517366.37,27969.25,64629.08,63811.01,780,38.07,2015
